1000002,Kabul,,Afghanistan,AF
1002690,Sainte-Catherine,Quebec,Canada,CA
1002691,Sainte-Adele,Quebec,Canada,CA
1002692,Sainte-Anne-de-Bellevue,Quebec,Canada,CA
1002693,Sainte-Claire,Quebec,Canada,CA
1002694,St-Croix,Quebec,Canada,CA
1002695,Sainte-Dorothee,Quebec,Canada,CA
1002696,L'Aeroport,Quebec,Canada,CA
1002697,Sainte-Genevieve,Quebec,Canada,CA
1002698,Sainte-Julie,Quebec,Canada,CA
1002699,Sainte-Marguerite-du-Lac-Masson,Quebec,Canada,CA
1002700,Sainte-Marie,Quebec,Canada,CA
1002701,Sainte-Rosalie,Quebec,Canada,CA
1002702,Sainte-Therese,Quebec,Canada,CA
1002703,Sutton,Quebec,Canada,CA
1002704,Temiscaming,Quebec,Canada,CA
1002705,Terrebonne,Quebec,Canada,CA
1002706,Thetford Mines,Quebec,Canada,CA
1002707,Tracy,Quebec,Canada,CA
1002708,Trois-Rivieres,Quebec,Canada,CA
1002709,Val-Belair,Quebec,Canada,CA
1002710,Val-d'Or,Quebec,Canada,CA
1002711,Val-Morin,Quebec,Canada,CA
1002712,Valcourt,Quebec,Canada,CA
1002713,Vallee-Jonction,Quebec,Canada,CA
1002715,Vanier,Quebec,Canada,CA
1002716,Varennes,Quebec,Canada,CA
1002717,Vaudreuil-Dorion,Quebec,Canada,CA
1002718,Verdun,Quebec,Canada,CA
1002719,Victoriaville,Quebec,Canada,CA
1002720,Warwick,Quebec,Canada,CA
1002721,Waswanipi,Quebec,Canada,CA
1002722,Waterloo,Quebec,Canada,CA
1002723,Waterville,Quebec,Canada,CA
1002724,Westmount,Quebec,Canada,CA
1002725,Windsor,Quebec,Canada,CA
1002726,Yamachiche,Quebec,Canada,CA
1002727,Aberdeen,Saskatchewan,Canada,CA
1002728,Allan,Saskatchewan,Canada,CA
1002729,Annaheim,Saskatchewan,Canada,CA
1002730,Assiniboia,Saskatchewan,Canada,CA
1002731,Balcarres,Saskatchewan,Canada,CA
1002732,Beauval,Saskatchewan,Canada,CA
1002733,Big River,Saskatchewan,Canada,CA
1002734,Biggar,Saskatchewan,Canada,CA
1002735,Bruno,Saskatchewan,Canada,CA
1002736,Buffalo Narrows,Saskatchewan,Canada,CA
1002737,Cabri,Saskatchewan,Canada,CA
1002738,Canwood,Saskatchewan,Canada,CA
1002739,Carlyle,Saskatchewan,Canada,CA
1002740,Caronport,Saskatchewan,Canada,CA
1002741,Clavet,Saskatchewan,Canada,CA
1002742,Colonsay,Saskatchewan,Canada,CA
1002743,Consul,Saskatchewan,Canada,CA
1002744,Cote,Saskatchewan,Canada,CA
1002745,Craik,Saskatchewan,Canada,CA
1002746,Creighton,Saskatchewan,Canada,CA
1002747,Debden,Saskatchewan,Canada,CA
1002748,Dillon,Saskatchewan,Canada,CA
1002749,Dundurn,Saskatchewan,Canada,CA
1002750,Edam,Saskatchewan,Canada,CA
1002751,Elfros,Saskatchewan,Canada,CA
1002752,Esterhazy,Saskatchewan,Canada,CA
1002753,Estevan,Saskatchewan,Canada,CA
1002754,Eston,Saskatchewan,Canada,CA
1002755,Fillmore,Saskatchewan,Canada,CA
1002756,Frontier,Saskatchewan,Canada,CA
1002757,Gravelbourg,Saskatchewan,Canada,CA
1002758,Griffin,Saskatchewan,Canada,CA
1002759,Gull Lake,Saskatchewan,Canada,CA
1002760,Hanley,Saskatchewan,Canada,CA
1002761,Hudson Bay,Saskatchewan,Canada,CA
1002762,Humboldt,Saskatchewan,Canada,CA
1002763,Ile-a-la-Crosse,Saskatchewan,Canada,CA
1002764,Indian Head,Saskatchewan,Canada,CA
1002765,Kamsack,Saskatchewan,Canada,CA
1002766,Kindersley,Saskatchewan,Canada,CA
1002767,La Loche,Saskatchewan,Canada,CA
1002768,La Ronge,Saskatchewan,Canada,CA
1002769,Lampman,Saskatchewan,Canada,CA
1002770,Lemberg,Saskatchewan,Canada,CA
1002771,Lloydminster,Saskatchewan,Canada,CA
1002772,Maple Creek,Saskatchewan,Canada,CA
1002773,Maymont,Saskatchewan,Canada,CA
1002774,Meadow Lake,Saskatchewan,Canada,CA
1002775,Melfort,Saskatchewan,Canada,CA
1002776,Melville,Saskatchewan,Canada,CA
1002777,Moose Jaw,Saskatchewan,Canada,CA
1002778,Moosomin,Saskatchewan,Canada,CA
1002779,Muenster,Saskatchewan,Canada,CA
1002780,Nipawin,Saskatchewan,Canada,CA
1002781,Norquay,Saskatchewan,Canada,CA
1002782,North Battleford,Saskatchewan,Canada,CA
1002783,North Portal,Saskatchewan,Canada,CA
1002784,Outlook,Saskatchewan,Canada,CA
1002785,Prince Albert,Saskatchewan,Canada,CA
1002786,Radville,Saskatchewan,Canada,CA
1002787,Regina,Saskatchewan,Canada,CA
1002788,Rocanville,Saskatchewan,Canada,CA
1002789,Rockglen,Saskatchewan,Canada,CA
1002790,Rosetown,Saskatchewan,Canada,CA
1002791,Saskatoon,Saskatchewan,Canada,CA
1002792,Shaunavon,Saskatchewan,Canada,CA
1002793,Shellbrook,Saskatchewan,Canada,CA
1002794,Swift Current,Saskatchewan,Canada,CA
1002795,Tisdale,Saskatchewan,Canada,CA
1002796,Unity,Saskatchewan,Canada,CA
1002797,Wadena,Saskatchewan,Canada,CA
1002798,Warman,Saskatchewan,Canada,CA
1002799,Weekes,Saskatchewan,Canada,CA
1002800,Weyburn,Saskatchewan,Canada,CA
1002801,Whitewood,Saskatchewan,Canada,CA
1002802,Wilcox,Saskatchewan,Canada,CA
1002803,Wilkie,Saskatchewan,Canada,CA
1002804,Wynyard,Saskatchewan,Canada,CA
1002805,Yorkton,Saskatchewan,Canada,CA
1002806,Whitehorse,Yukon Territory,Canada,CA
1002807,Aarau,Aargau,Switzerland,CH
1002808,Aarburg,Aargau,Switzerland,CH
1002809,Baden,Aargau,Switzerland,CH
1002810,Brittnau,Aargau,Switzerland,CH
1002811,Brugg,Aargau,Switzerland,CH
1002812,Remetschwil,Aargau,Switzerland,CH
1002813,Frick,Aargau,Switzerland,CH
1002814,Granichen,Aargau,Switzerland,CH
1002815,Hirschthal,Aargau,Switzerland,CH
1002816,Holderbank,Aargau,Switzerland,CH
1002817,Hunzenschwil,Aargau,Switzerland,CH
1002818,Kaiseraugst,Aargau,Switzerland,CH
1002820,Bottstein,Aargau,Switzerland,CH
1002821,Kolliken,Aargau,Switzerland,CH
1002822,Laufenburg,Aargau,Switzerland,CH
1002823,Leibstadt,Aargau,Switzerland,CH
1002824,Lenzburg,Aargau,Switzerland,CH
1002825,Leuggern,Aargau,Switzerland,CH
1002826,Lupfig,Aargau,Switzerland,CH
1002827,Mellingen,Aargau,Switzerland,CH
1002828,Menziken,Aargau,Switzerland,CH
1002829,Mohlin,Aargau,Switzerland,CH
1002830,Muhen,Aargau,Switzerland,CH
1002831,Neuenhof,Aargau,Switzerland,CH
1002832,Niederlenz,Aargau,Switzerland,CH
1002833,Niederrohrdorf,Aargau,Switzerland,CH
1002834,Oberentfelden,Aargau,Switzerland,CH
1002835,Oberrohrdorf,Aargau,Switzerland,CH
1002836,Oftringen,Aargau,Switzerland,CH
1002837,Rheinfelden,Aargau,Switzerland,CH
1002839,Rothrist,Aargau,Switzerland,CH
1002840,Rudolfstetten-Friedlisberg,Aargau,Switzerland,CH
1002841,Rupperswil,Aargau,Switzerland,CH
1002842,Safenwil,Aargau,Switzerland,CH
1002844,Siglistorf,Aargau,Switzerland,CH
1002845,Sins,Aargau,Switzerland,CH
1002846,Spreitenbach,Aargau,Switzerland,CH
1002847,Staufen,Aargau,Switzerland,CH
1002848,Stein,Aargau,Switzerland,CH
1002849,Stetten,Aargau,Switzerland,CH
1002850,Suhr,Aargau,Switzerland,CH
1002852,Turgi,Aargau,Switzerland,CH
1002853,Unterentfelden,Aargau,Switzerland,CH
1002854,Unterkulm,Aargau,Switzerland,CH
1002855,Villigen,Aargau,Switzerland,CH
1002856,Vordemwald,Aargau,Switzerland,CH
1002857,Wettingen,Aargau,Switzerland,CH
1002858,Moriken-Wildegg,Aargau,Switzerland,CH
1002859,Windisch,Aargau,Switzerland,CH
1002860,Wohlen,Aargau,Switzerland,CH
1002861,Wurenlos,Aargau,Switzerland,CH
1002862,Zofingen,Aargau,Switzerland,CH
1002863,Zufikon,Aargau,Switzerland,CH
1002864,Bad Zurzach,Aargau,Switzerland,CH
1002865,Appenzell District,Appenzell Innerrhoden,Switzerland,CH
1002866,Gais,Appenzell Ausserrhoden,Switzerland,CH
1002867,Heiden,Appenzell Ausserrhoden,Switzerland,CH
1002868,Herisau,Appenzell Ausserrhoden,Switzerland,CH
1002869,Teufen,Appenzell Ausserrhoden,Switzerland,CH
1002870,Waldstatt,Appenzell Ausserrhoden,Switzerland,CH
1002871,Aarberg,Canton of Bern,Switzerland,CH
1002872,Aarwangen,Canton of Bern,Switzerland,CH
1002873,Amsoldingen,Canton of Bern,Switzerland,CH
1002874,Belp,Canton of Bern,Switzerland,CH
1002875,Bern,Canton of Bern,Switzerland,CH
1002876,Biel/Bienne,Canton of Bern,Switzerland,CH
1002877,Brienz,Canton of Bern,Switzerland,CH
1002879,Burgdorf,Canton of Bern,Switzerland,CH
1002880,Ersigen,Canton of Bern,Switzerland,CH
1002881,Farnern,Canton of Bern,Switzerland,CH
1002882,Grindelwald,Canton of Bern,Switzerland,CH
1002884,Muri bei Bern,Canton of Bern,Switzerland,CH
1002887,Kirchlindach,Canton of Bern,Switzerland,CH
1002888,Herzogenbuchsee,Canton of Bern,Switzerland,CH
1002889,Hilterfingen,Canton of Bern,Switzerland,CH
1002890,Interlaken,Canton of Bern,Switzerland,CH
1002891,Ipsach,Canton of Bern,Switzerland,CH
1002892,Ittigen,Canton of Bern,Switzerland,CH
1002893,Jegenstorf,Canton of Bern,Switzerland,CH
1002894,Kehrsatz,Canton of Bern,Switzerland,CH
1002895,Kirchberg,Canton of Bern,Switzerland,CH
1002896,Konolfingen,Canton of Bern,Switzerland,CH
1002897,Langenthal,Canton of Bern,Switzerland,CH
1002898,Laufen,Basel-Landschaft,Switzerland,CH
1002900,Lignieres,Neuchatel,Switzerland,CH
1002901,Lyss,Canton of Bern,Switzerland,CH
1002902,Lyssach,Canton of Bern,Switzerland,CH
1002903,Madiswil,Canton of Bern,Switzerland,CH
1002904,Malleray,Canton of Bern,Switzerland,CH
1002906,Meiringen,Canton of Bern,Switzerland,CH
1002907,Moosseedorf,Canton of Bern,Switzerland,CH
1002908,Munsingen,Canton of Bern,Switzerland,CH
1002909,Murten,Fribourg,Switzerland,CH
1002910,Nidau,Canton of Bern,Switzerland,CH
1002913,Oberhofen,Canton of Bern,Switzerland,CH
1002916,Orpund,Canton of Bern,Switzerland,CH
1002917,Orvin,Canton of Bern,Switzerland,CH
1002918,Ostermundigen,Canton of Bern,Switzerland,CH
1002919,Pery,Canton of Bern,Switzerland,CH
1002920,Pieterlen,Canton of Bern,Switzerland,CH
1002921,Schlosswil,Canton of Bern,Switzerland,CH
1002922,Urtenen-Schonbuhl,Canton of Bern,Switzerland,CH
1002923,Schwadernau,Canton of Bern,Switzerland,CH
1002924,Wahlern,Canton of Bern,Switzerland,CH
1002925,Seedorf,Canton of Bern,Switzerland,CH
1002926,Spiez,Canton of Bern,Switzerland,CH
1002927,St-Imier,Canton of Bern,Switzerland,CH
1002928,Tavannes,Canton of Bern,Switzerland,CH
1002930,Thun,Canton of Bern,Switzerland,CH
1002931,Toffen,Canton of Bern,Switzerland,CH
1002932,Tramelan,Canton of Bern,Switzerland,CH
1002933,Trubschachen,Canton of Bern,Switzerland,CH
1002934,Uetendorf,Canton of Bern,Switzerland,CH
1002935,Utzenstorf,Canton of Bern,Switzerland,CH
1002939,Worb,Canton of Bern,Switzerland,CH
1002940,Zollikofen,Canton of Bern,Switzerland,CH
1002941,Aesch,Basel-Landschaft,Switzerland,CH
1002942,Allschwil,Basel-Landschaft,Switzerland,CH
1002943,Arlesheim,Basel-Landschaft,Switzerland,CH
1002944,Augst,Basel-Landschaft,Switzerland,CH
1002945,Binningen,Basel-Landschaft,Switzerland,CH
1002946,Birsfelden,Basel-Landschaft,Switzerland,CH
1002947,Blauen,Basel-Landschaft,Switzerland,CH
1002948,Bockten,Basel-Landschaft,Switzerland,CH
1002950,Giebenach,Basel-Landschaft,Switzerland,CH
1002951,Hersberg,Basel-Landschaft,Switzerland,CH
1002952,Holstein,Basel-Landschaft,Switzerland,CH
1002953,Laufelfingen,Basel-Landschaft,Switzerland,CH
1002954,Liesberg,Basel-Landschaft,Switzerland,CH
1002955,Liestal,Basel-Landschaft,Switzerland,CH
1002956,Munchenstein,Basel-Landschaft,Switzerland,CH
1002957,Muttenz,Basel-Landschaft,Switzerland,CH
1002958,Oberwil,Basel-Landschaft,Switzerland,CH
1002959,Pratteln,Basel-Landschaft,Switzerland,CH
1002960,Reinach,Basel-Landschaft,Switzerland,CH
1002961,Riehen,Basel City,Switzerland,CH
1002962,Sissach,Basel-Landschaft,Switzerland,CH
1002963,Waldenburg,Basel-Landschaft,Switzerland,CH
1002964,Basel,Basel City,Switzerland,CH
1002965,Bettingen,Basel City,Switzerland,CH
1002967,Charmey,Fribourg,Switzerland,CH
1002968,Chatel-Saint-Denis,Fribourg,Switzerland,CH
1002969,Dudingen,Fribourg,Switzerland,CH
1002970,Wunnewil-Flamatt,Fribourg,Switzerland,CH
1002971,Fribourg,Fribourg,Switzerland,CH
1002972,Givisiez,Fribourg,Switzerland,CH
1002973,Granges-Paccot,Fribourg,Switzerland,CH
1002974,Marly,Fribourg,Switzerland,CH
1002975,Matran,Fribourg,Switzerland,CH
1002976,Neyruz,Fribourg,Switzerland,CH
1002977,Noreaz,Fribourg,Switzerland,CH
1002978,Payerne,Vaud,Switzerland,CH
1002979,Tentlingen,Fribourg,Switzerland,CH
1002980,Villars-sur-Glane,Fribourg,Switzerland,CH
1002982,Bellevue,Geneva,Switzerland,CH
1002983,Carouge,Geneva,Switzerland,CH
1002984,Pregny-Chambesy,Geneva,Switzerland,CH
1002986,Chene-Bougeries,Geneva,Switzerland,CH
1002987,Chene-Bourg,Geneva,Switzerland,CH
1002989,Collonge-Bellerive,Geneva,Switzerland,CH
1002990,Cologny,Geneva,Switzerland,CH
1002992,Geneva,Geneva,Switzerland,CH
1002993,Grand-Saconnex,Geneva,Switzerland,CH
1002995,Jussy,Geneva,Switzerland,CH
1002996,Lancy,Geneva,Switzerland,CH
1002998,Meyrin,Geneva,Switzerland,CH
1002999,Perly,Geneva,Switzerland,CH
1003001,Plan-les-Ouates,Geneva,Switzerland,CH
1003002,Presinge,Geneva,Switzerland,CH
1003003,Thonex,Geneva,Switzerland,CH
1003004,Vernier,Geneva,Switzerland,CH
1003005,Versoix,Geneva,Switzerland,CH
1003007,Veyrier,Geneva,Switzerland,CH
1003008,Bilten,Glarus,Switzerland,CH
1003009,Ennenda,Glarus,Switzerland,CH
1003010,Glarus,Glarus,Switzerland,CH
1003011,Mitlodi,Glarus,Switzerland,CH
1003012,Mollis,Glarus,Switzerland,CH
1003013,Nafels,Glarus,Switzerland,CH
1003014,Oberurnen,Glarus,Switzerland,CH
1003015,Obstalden,Glarus,Switzerland,CH
1003016,Arosa,Grisons,Switzerland,CH
1003017,Bonaduz,Grisons,Switzerland,CH
1003018,Chur,Grisons,Switzerland,CH
1003019,Davos,Grisons,Switzerland,CH
1003022,Domat/Ems,Grisons,Switzerland,CH
1003023,Flims,Grisons,Switzerland,CH
1003024,Ilanz,Grisons,Switzerland,CH
1003025,Klosters-Serneus,Grisons,Switzerland,CH
1003026,Laax,Grisons,Switzerland,CH
1003028,Samedan,Grisons,Switzerland,CH
1003030,Scuol,Grisons,Switzerland,CH
1003031,Saint Moritz,Grisons,Switzerland,CH
1003032,Thusis,Grisons,Switzerland,CH
1003033,Zizers,Grisons,Switzerland,CH
1003034,Zuoz,Grisons,Switzerland,CH
1003036,Delemont,Jura,Switzerland,CH
1003037,Le Noirmont,Jura,Switzerland,CH
1003038,Porrentruy,Jura,Switzerland,CH
1003039,Rossemaison,Jura,Switzerland,CH
1003040,Saignelegier,Jura,Switzerland,CH
1003041,Adligenswil,Lucerne,Switzerland,CH
1003042,Altishofen,Lucerne,Switzerland,CH
1003043,Ballwil,Lucerne,Switzerland,CH
1003044,Ebikon,Lucerne,Switzerland,CH
1003045,Emmen,Lucerne,Switzerland,CH
1003047,Entlebuch,Lucerne,Switzerland,CH
1003048,Gisikon,Lucerne,Switzerland,CH
1003049,Grosswangen,Lucerne,Switzerland,CH
1003050,Hergiswil,Nidwalden,Switzerland,CH
1003051,Hitzkirch,Lucerne,Switzerland,CH
1003052,Hochdorf,Lucerne,Switzerland,CH
1003054,Kriens,Lucerne,Switzerland,CH
1003055,Littau,Lucerne,Switzerland,CH
1003056,Lucerne,Lucerne,Switzerland,CH
1003057,Malters,Lucerne,Switzerland,CH
1003058,Marbach,Lucerne,Switzerland,CH
1003059,Meggen,Lucerne,Switzerland,CH
1003060,Menznau,Lucerne,Switzerland,CH
1003061,Nottwil,Lucerne,Switzerland,CH
1003062,Reiden,Lucerne,Switzerland,CH
1003063,Rickenbach,Lucerne,Switzerland,CH
1003064,Root,Lucerne,Switzerland,CH
1003065,Rothenburg,Lucerne,Switzerland,CH
1003066,Ruswil,Lucerne,Switzerland,CH
1003069,Schupfheim,Lucerne,Switzerland,CH
1003070,Sempach,Lucerne,Switzerland,CH
1003071,Sursee,Lucerne,Switzerland,CH
1003072,Triengen,Lucerne,Switzerland,CH
1003073,Willisau,Lucerne,Switzerland,CH
1003074,Wolhusen,Lucerne,Switzerland,CH
1003075,Bevaix,Neuchatel,Switzerland,CH
1003076,Colombier,Neuchatel,Switzerland,CH
1003078,Cortaillod,Neuchatel,Switzerland,CH
1003079,Couvet,Neuchatel,Switzerland,CH
1003080,Cressier,Neuchatel,Switzerland,CH
1003082,La Chaux-de-Fonds,Neuchatel,Switzerland,CH
1003083,La Neuveville,Canton of Bern,Switzerland,CH
1003084,Le Locle,Neuchatel,Switzerland,CH
1003085,Les Brenets,Neuchatel,Switzerland,CH
1003086,Les Geneveys-sur-Coffrane,Neuchatel,Switzerland,CH
1003088,Neuchatel,Neuchatel,Switzerland,CH
1003089,Saint-Blaise,Neuchatel,Switzerland,CH
1003090,Buochs,Nidwalden,Switzerland,CH
1003091,Ennetburgen,Nidwalden,Switzerland,CH
1003092,Stans,Nidwalden,Switzerland,CH
1003094,Stansstad,Nidwalden,Switzerland,CH
1003095,Engelberg,Obwalden,Switzerland,CH
1003096,Kerns,Obwalden,Switzerland,CH
1003097,Au,St. Gallen,Switzerland,CH
1003098,Buchs,St. Gallen,Switzerland,CH
1003099,Flawil,St. Gallen,Switzerland,CH
1003100,Gams,St. Gallen,Switzerland,CH
1003101,Gossau,St. Gallen,Switzerland,CH
1003104,Lichtensteig,St. Gallen,Switzerland,CH
1003105,Mels,St. Gallen,Switzerland,CH
1003106,Nesslau-Krummenau,St. Gallen,Switzerland,CH
1003107,Oberriet,St. Gallen,Switzerland,CH
1003109,Rorschach,St. Gallen,Switzerland,CH
1003110,Sargans,St. Gallen,Switzerland,CH
1003111,Schwerzenbach,Zurich,Switzerland,CH
1003112,Sennwald,St. Gallen,Switzerland,CH
1003113,St. Gallen,St. Gallen,Switzerland,CH
1003114,Uznach,St. Gallen,Switzerland,CH
1003115,Wattwil,St. Gallen,Switzerland,CH
1003116,Wil,St. Gallen,Switzerland,CH
1003117,Beringen,Schaffhausen,Switzerland,CH
1003119,Ramsen,Schaffhausen,Switzerland,CH
1003120,Schaffhausen,Schaffhausen,Switzerland,CH
1003121,Thayngen,Schaffhausen,Switzerland,CH
1003122,Balsthal,Solothurn,Switzerland,CH
1003123,Battwil,Solothurn,Switzerland,CH
1003124,Bellach,Solothurn,Switzerland,CH
1003125,Bettlach,Solothurn,Switzerland,CH
1003126,Biberist,Solothurn,Switzerland,CH
1003127,Breitenbach,Solothurn,Switzerland,CH
1003128,Daniken,Solothurn,Switzerland,CH
1003129,Dornach,Solothurn,Switzerland,CH
1003130,Dulliken,Solothurn,Switzerland,CH
1003131,Egerkingen,Solothurn,Switzerland,CH
1003132,Grenchen,Solothurn,Switzerland,CH
1003133,Gretzenbach,Solothurn,Switzerland,CH
1003134,Hagendorf,Solothurn,Switzerland,CH
1003135,Kleinlutzel,Solothurn,Switzerland,CH
1003136,Lengnau,Canton of Bern,Switzerland,CH
1003137,Oberbuchsiten,Solothurn,Switzerland,CH
1003138,Oberdorf,Solothurn,Switzerland,CH
1003139,Oensingen,Solothurn,Switzerland,CH
1003140,Schonenwerd,Solothurn,Switzerland,CH
1003141,Solothurn,Solothurn,Switzerland,CH
1003142,Zuchwil,Solothurn,Switzerland,CH
1003143,Einsiedeln,Schwyz,Switzerland,CH
1003144,Freienbach,Schwyz,Switzerland,CH
1003145,Galgenen,Schwyz,Switzerland,CH
1003146,Gersau,Schwyz,Switzerland,CH
1003148,Kussnacht,Schwyz,Switzerland,CH
1003149,Schwyz,Schwyz,Switzerland,CH
1003151,Wollerau,Schwyz,Switzerland,CH
1003152,Amriswil,Thurgau,Switzerland,CH
1003153,Arbon,Thurgau,Switzerland,CH
1003154,Bischofszell,Thurgau,Switzerland,CH
1003155,Frauenfeld,Thurgau,Switzerland,CH
1003156,Gottlieben,Thurgau,Switzerland,CH
1003157,Gachnang,Thurgau,Switzerland,CH
1003158,Matzingen,Thurgau,Switzerland,CH
1003159,Pfyn,Thurgau,Switzerland,CH
1003160,Roggwil,Thurgau,Switzerland,CH
1003161,Romanshorn,Thurgau,Switzerland,CH
1003162,Sirnach,Thurgau,Switzerland,CH
1003163,Steckborn,Thurgau,Switzerland,CH
1003164,Wangi,Thurgau,Switzerland,CH
1003165,Weinfelden,Thurgau,Switzerland,CH
1003166,Agno,Ticino,Switzerland,CH
1003167,Ascona,Ticino,Switzerland,CH
1003168,Balerna,Ticino,Switzerland,CH
1003169,Bellinzona,Ticino,Switzerland,CH
1003170,Chiasso,Ticino,Switzerland,CH
1003171,Giubiasco,Ticino,Switzerland,CH
1003172,Ligornetto,Ticino,Switzerland,CH
1003173,Losone,Ticino,Switzerland,CH
1003174,Lugano,Ticino,Switzerland,CH
1003175,Manno,Ticino,Switzerland,CH
1003176,Melide,Ticino,Switzerland,CH
1003177,Mendrisio,Ticino,Switzerland,CH
1003178,Muralto,Ticino,Switzerland,CH
1003181,Aigle,Vaud,Switzerland,CH
1003182,Aubonne,Vaud,Switzerland,CH
1003183,Bex,Vaud,Switzerland,CH
1003184,Bursins,Vaud,Switzerland,CH
1003185,Chateau-d'Oex,Vaud,Switzerland,CH
1003186,Chavannes-de-Bogis,Vaud,Switzerland,CH
1003187,Coppet,Vaud,Switzerland,CH
1003188,Cossonay,Vaud,Switzerland,CH
1003189,Crissier,Vaud,Switzerland,CH
1003190,Denens,Vaud,Switzerland,CH
1003191,Ecublens,Vaud,Switzerland,CH
1003192,Epalinges,Vaud,Switzerland,CH
1003193,Founex,Vaud,Switzerland,CH
1003194,Gland,Vaud,Switzerland,CH
1003195,Henniez,Vaud,Switzerland,CH
1003196,Lausanne,Vaud,Switzerland,CH
1003197,Le Mont-sur-Lausanne,Vaud,Switzerland,CH
1003199,Leysin,Vaud,Switzerland,CH
1003200,Lucens,Vaud,Switzerland,CH
1003201,Mies,Vaud,Switzerland,CH
1003202,Montreux,Vaud,Switzerland,CH
1003203,Morges,Vaud,Switzerland,CH
1003204,Moudon,Vaud,Switzerland,CH
1003205,Nyon,Vaud,Switzerland,CH
1003206,Oron-la-Ville,Vaud,Switzerland,CH
1003207,Penthalaz,Vaud,Switzerland,CH
1003208,Pompaples,Vaud,Switzerland,CH
1003209,Prangins,Vaud,Switzerland,CH
1003210,Preverenges,Vaud,Switzerland,CH
1003211,Prilly,Vaud,Switzerland,CH
1003212,Pully,Vaud,Switzerland,CH
1003213,Renens,Vaud,Switzerland,CH
1003215,Saint-Sulpice,Vaud,Switzerland,CH
1003217,Vevey,Vaud,Switzerland,CH
1003219,Yverdon-les-Bains,Vaud,Switzerland,CH
1003220,Brig,Valais,Switzerland,CH
1003221,Collombey,Valais,Switzerland,CH
1003222,Martigny,Valais,Switzerland,CH
1003223,Crans-Montana,Valais,Switzerland,CH
1003224,Naters,Valais,Switzerland,CH
1003225,Saas Fee,Valais,Switzerland,CH
1003226,Sierre,Valais,Switzerland,CH
1003227,Sion,Valais,Switzerland,CH
1003229,Zermatt,Valais,Switzerland,CH
1003230,Baar,Canton of Zug,Switzerland,CH
1003231,Cham,Canton of Zug,Switzerland,CH
1003232,Neuheim,Canton of Zug,Switzerland,CH
1003233,Risch-Rotkreuz,Canton of Zug,Switzerland,CH
1003234,Steinhausen,Canton of Zug,Switzerland,CH
1003235,Zug,Canton of Zug,Switzerland,CH
1003236,Aadorf,Thurgau,Switzerland,CH
1003237,Adliswil,Zurich,Switzerland,CH
1003238,Bachenbulach,Zurich,Switzerland,CH
1003239,Bassersdorf,Zurich,Switzerland,CH
1003241,Bonstetten,Zurich,Switzerland,CH
1003242,Bremgarten,Aargau,Switzerland,CH
1003243,Wangen-Bruttisellen,Zurich,Switzerland,CH
1003244,Bubikon,Zurich,Switzerland,CH
1003245,Bulach,Zurich,Switzerland,CH
1003246,Dielsdorf,Zurich,Switzerland,CH
1003247,Dietikon,Zurich,Switzerland,CH
1003248,Dubendorf,Zurich,Switzerland,CH
1003249,Maur,Zurich,Switzerland,CH
1003250,Effretikon,Zurich,Switzerland,CH
1003251,Egg,Zurich,Switzerland,CH
1003252,Eglisau,,Switzerland,CH
1003253,Embrach,Zurich,Switzerland,CH
1003254,Erlenbach,Zurich,Switzerland,CH
1003257,Geroldswil,Zurich,Switzerland,CH
1003258,Glattfelden,Zurich,Switzerland,CH
1003259,Greifensee,Zurich,Switzerland,CH
1003260,Hedingen,Zurich,Switzerland,CH
1003261,Hinwil,Zurich,Switzerland,CH
1003262,Hombrechtikon,Zurich,Switzerland,CH
1003263,Horgen,Zurich,Switzerland,CH
1003264,Kilchberg,Zurich,Switzerland,CH
1003265,Kloten,Zurich,Switzerland,CH
1003267,Mannedorf,Zurich,Switzerland,CH
1003269,Meilen,Zurich,Switzerland,CH
1003270,Monchaltorf,Zurich,Switzerland,CH
1003271,Neuhausen am Rheinfall,Schaffhausen,Switzerland,CH
1003273,Opfikon,Zurich,Switzerland,CH
1003274,Otelfingen,Zurich,Switzerland,CH
1003275,Pfaffikon,Zurich,Switzerland,CH
1003276,Regensdorf,Zurich,Switzerland,CH
1003277,Richterswil,Zurich,Switzerland,CH
1003278,Rumlang,Zurich,Switzerland,CH
1003279,Ruschlikon,Zurich,Switzerland,CH
1003280,Ruti,,Switzerland,CH
1003281,Schlieren,Zurich,Switzerland,CH
1003282,Seuzach,Zurich,Switzerland,CH
1003283,Stafa,Zurich,Switzerland,CH
1003284,Thalwil,Zurich,Switzerland,CH
1003285,Turbenthal,Zurich,Switzerland,CH
1003286,Uetikon,Zurich,Switzerland,CH
1003287,Urdorf,Zurich,Switzerland,CH
1003288,Uster,Zurich,Switzerland,CH
1003289,Wadenswil,Zurich,Switzerland,CH
1003290,Wallisellen,Zurich,Switzerland,CH
1003291,Weisslingen,Zurich,Switzerland,CH
1003292,Wetzikon,Zurich,Switzerland,CH
1003293,Winterthur,Zurich,Switzerland,CH
1003294,Zollikon,Zurich,Switzerland,CH
1003296,Zumikon,Zurich,Switzerland,CH
1003297,Zurich,Zurich,Switzerland,CH
1003298,Antofagasta,Antofagasta Region,Chile,CL
1003299,Chuquicamata,Antofagasta Region,Chile,CL
1003300,Temuco,Araucania,Chile,CL
1003301,Victoria,Araucania,Chile,CL
1003302,Concepcion,Bio Bio Region,Chile,CL
1003303,Los Angeles,Bio Bio Region,Chile,CL
1003304,Talcahuano,Bio Bio Region,Chile,CL
